symbols,Company,TradingView_Sector,TradingView_Industry,Sector_SPDR,TAGS,Exchange
OTEX,Open Text Corporation,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
OTIS,Otis Worldwide Corporation,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
OXY,Occidental Petroleum Corporation,Energy Minerals,Oil & Gas Production,XLE - Energy,,NYSE
PAA,Plains All American Pipeline LP,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NASDAQ
PANW,Palo Alto Networks Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
PAYC,Paycom Software Inc,Technology Services,Packaged Software,XLK - Technology,,NYSE
PAYX,Paychex Inc,Technology Services,Data Processing Services,XLI - Industrials,,NASDAQ
PBT,Permian Basin Royalty Trust,Energy Minerals,Oil & Gas Production,XLE - Energy,,NYSE
PCAR,PACCAR Inc,Producer Manufacturing,Trucks/Construction/Farm Machinery,XLI - Industrials,,NASDAQ
PCG,PG&E Corporation,Utilities,Electric Utilities,XLU - Utilities,,NYSE
PDD,PDD Holdings Inc,Retail Trade,Internet Retail,XLY - Consumer Discretionary,,NASDAQ
PEG,Public Service Enterprise Group Incorporated,Utilities,Electric Utilities,XLU - Utilities,,NYSE
PEP,PepsiCo Inc,Consumer Non-durables,Beverages: Non-Alcoholic,XLP - Consumer Staples,,NASDAQ
PFE,Pfizer Inc,Health Technology,Pharmaceuticals: Major,XLV - Health Care,,NYSE
PFG,Principal Financial Group Inc,Finance,Investment Managers,XLF - Financial,,NASDAQ
PG,The Procter & Gamble Company,Consumer Non-durables,Household/Personal Care,XLP - Consumer Staples,,NYSE
PGR,The Progressive Corporation,Finance,Property/Casualty Insurance,XLF - Financial,,NYSE
PH,Parker-Hannifin Corporation,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
PHM,PulteGroup Inc,Consumer Durables,Homebuilding,XLY - Consumer Discretionary,,NYSE
PINS,Pinterest Inc,Technology Services,Internet Software/Services,XLC - Communication Services,,NYSE
PKG,Packaging Corporation of America,Process Industries,Containers/Packaging,XLB - Materials,,NYSE
PLBY,PLBY Group Inc,Consumer Services,Other Consumer Services,XLC - Communication Services,,NGM
PLD,Prologis Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
PLTR,Palantir Technologies Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
PLUG,Plug Power Inc,Electronic Technology,Electronic Production Equipment,XLU - Utilities,,NCM
PM,Philip Morris International Inc,Consumer Non-durables,Tobacco,XLP - Consumer Staples,,NYSE
PNC,The PNC Financial Services Group Inc,Finance,Regional Banks,XLF - Financial,,NYSE
PNR,Pentair plc,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
PNW,Pinnacle West Capital Corporation,Utilities,Electric Utilities,XLU - Utilities,,NYSE
PODD,Insulet Corporation,Health Technology,Medical Specialties,XLV - Health Care,,NASDAQ
POOL,Pool Corporation,Distribution Services,Wholesale Distributors,XLY - Consumer Discretionary,,NASDAQ
PPG,PPG Industries Inc,Process Industries,Chemicals: Specialty,XLB - Materials,,NYSE
PPL,PPL Corporation,Utilities,Electric Utilities,XLU - Utilities,,NYSE
PRIM,Primoris Services Corporation,Industrial Services,Engineering & Construction,XLI - Industrials,,NYSE
PRLB,Proto Labs Inc,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
PRU,Prudential Financial Inc,Finance,Life/Health Insurance,XLF - Financial,,NYSE
PSA,Public Storage,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
PSEC,Prospect Capital Corporation,Finance,Investment Managers,XLF - Financial,,NASDAQ
PSTG,Pure Storage Inc,Electronic Technology,Computer Processing Hardware,XLK - Technology,,NYSE
PSX,Phillips 66,Energy Minerals,Oil Refining/Marketing,XLE - Energy,,NYSE
PTC,PTC Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
PURE,Pure Cycle Corporation,Utilities,Water Utilities,XLU - Utilities,,OQB
PWR,Quanta Services Inc,Industrial Services,Engineering & Construction,XLI - Industrials,,NYSE
PWR,Quanta Services Inc,Industrial Services,Engineering & Construction,XLI - Industrials,,NYSE
PYPL,PayPal Holdings Inc,Technology Services,Data Processing Services,XLF - Financial,,NASDAQ
QCOM,QUALCOMM Incorporated,Electronic Technology,Semiconductors,XLK - Technology,,NASDAQ
QLYS,Qualys Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
QRVO,Qorvo Inc,Electronic Technology,Semiconductors,XLK - Technology,,NASDAQ
QSR,Restaurant Brands International Inc,Consumer Services,Restaurants,XLY - Consumer Discretionary,,NYSE
RBA,RB Global Inc,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
RBLX,Roblox Corporation,Consumer Services,Movies/Entertainment,XLC - Communication Services,,NYSE
RCL,Royal Caribbean Cruises Ltd,Consumer Services,Hotels/Resorts/Cruise lines,XLY - Consumer Discretionary,navio cruzeiro,NYSE
REAL,The Real Brokerage Inc,Finance,Real Estate Development,XLRE - Real State,,NASDAQ
REG,Regency Centers Corporation,Finance,Real Estate Investment Trusts,XLRE - Real State,,NASDAQ
REGN,Regeneron Pharmaceuticals Inc,Health Technology,Biotechnology,XLV - Health Care,,NASDAQ
RF,Regions Financial Corporation,Finance,Regional Banks,XLF - Financial,,NYSE
RIVN,Rivian Automotive Inc,Consumer Durables,Motor Vehicles,XLY - Consumer Discretionary,,NASDAQ
RJF,Raymond James Financial Inc,Finance,Investment Banks/Brokers,XLF - Financial,,NYSE
RL,Ralph Lauren Corporation,Consumer Non-durables,Apparel/Footwear,XLY - Consumer Discretionary,,NYSE
RMD,ResMed Inc,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
ROAD,Construction Partners Inc,Industrial Services,Engineering & Construction,XLI - Industrials,,NASDAQ
ROK,Rockwell Automation Inc,Electronic Technology,Electronic Equipment/Instruments,XLI - Industrials,,NYSE
ROKU,Roku Inc,Consumer Services,Movies/Entertainment,XLC - Communication Services,,NASDAQ
ROL,Rollins Inc,Commercial Services,Miscellaneous Commercial Services,XLI - Industrials,,NYSE
ROP,Roper Technologies Inc,Electronic Technology,Electronic Equipment/Instruments,XLI - Industrials,,NASDAQ
ROST,Ross Stores Inc,Retail Trade,Apparel/Footwear Retail,XLY - Consumer Discretionary,,NASDAQ
RPD,Rapid7 Inc,Technology Services,Packaged Software,XLK - Technology,,NGM
RSG,Republic Services Inc,Industrial Services,Environmental Services,XLI - Industrials,,NYSE
RTX,RTX Corporation,Electronic Technology,Aerospace & Defense,XLI - Industrials,,NYSE
RUN,Sunrun Inc,Utilities,Electric Utilities,XLU - Utilities,solar,NASDAQ
RVTY,Revvity Inc,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
RXO,RXO Inc,Transportation,Trucking,XLI - Industrials,,NYSE
RY,Royal Bank of Canada,Finance,Major Banks,XLF - Financial,,NYSE
S,SentinelOne Inc,Technology Services,Packaged Software,XLK - Technology,,NYSE
SAIA,Saia Inc,Transportation,Trucking,XLI - Industrials,,NASDAQ
SAIL,SailPoint Technologies Holdings Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
SAP,SAP SE,Technology Services,Packaged Software,XLK - Technology,,NYSE
SBAC,SBA Communications Corporation,Finance,Real Estate Investment Trusts,XLRE - Real State,,NASDAQ
SBUX,Starbucks Corporation,Consumer Services,Restaurants,XLY - Consumer Discretionary,,NASDAQ
SCHW,The Charles Schwab Corporation,Finance,Investment Banks/Brokers,XLF - Financial,,NYSE
SEDG,SolarEdge Technologies Inc,Electronic Technology,Electronic Production Equipment,XLU - Utilities,,NASDAQ
SHEL,Shell plc,Energy Minerals,Integrated Oil,XLE - Energy,,NYSE
SHOP,Shopify Inc,Technology Services,Internet Software/Services,XLK - Technology,,NASDAQ
SHW,The Sherwin-Williams Company,Process Industries,Chemicals: Specialty,XLB - Materials,,NYSE
SJM,The J M Smucker Company,Consumer Non-durables,Food: Major Diversified,XLP - Consumer Staples,,NYSE
SJT,San Juan Basin Royalty Trust,Energy Minerals,Oil & Gas Production,XLE - Energy,,NYSE
SKYW,SkyWest Inc,Transportation,Airlines,XLI - Industrials,airlines aviao,NASDAQ
SLB,Schlumberger Limited,Industrial Services,Oilfield Services/Equipment,XLE - Energy,,NYSE
SLF,Sun Life Financial Inc,Finance,Life/Health Insurance,XLF - Financial,,NYSE
SMCI,Super Micro Computer Inc,Electronic Technology,Computer Processing Hardware,XLK - Technology,,NASDAQ
SNA,Snap-on Incorporated,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
SNAP,Snap Inc,Technology Services,Internet Software/Services,XLC - Communication Services,,NYSE
SNOW,Snowflake Inc,Technology Services,Packaged Software,XLK - Technology,,NYSE
SNPS,Synopsys Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
SNY,Sanofi,Health Technology,Pharmaceuticals: Major,XLV - Health Care,,NASDAQ
SO,The Southern Company,Utilities,Electric Utilities,XLU - Utilities,,NYSE
SOFI,SoFi Technologies Inc,Finance,Finance/Rental/Leasing,XLF - Financial,,NASDAQ
SOL,Renesola Ltd,Electronic Technology,Electronic Production Equipment,XLU - Utilities,,NYSE
SOLV,Solventum Corporation,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
SPG,Simon Property Group Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
SPGI,S&P Global Inc,Commercial Services,Financial Publishing/Services,XLF - Financial,,NYSE
SPWR,SunPower Corporation,Electronic Technology,Electronic Production Equipment,XLU - Utilities,,NGM
SRE,Sempra,Utilities,Gas Distributors,XLU - Utilities,,NYSE
STC,Student Transportation Inc,Transportation,Other Transportation,XLI - Industrials,,NYSE
STE,STERIS plc,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
STLD,Steel Dynamics Inc,Non-energy Minerals,Steel,XLB - Materials,,NASDAQ
STRL,Sterling Construction Company Inc,Industrial Services,Engineering & Construction,XLI - Industrials,,NASDAQ
STT,State Street Corporation,Finance,Major Banks,XLF - Financial,,NYSE
STX,Seagate Technology Holdings plc,Electronic Technology,Computer Processing Hardware,XLK - Technology,,NASDAQ
STZ,Constellation Brands Inc,Consumer Non-durables,Beverages: Alcoholic,XLP - Consumer Staples,,NYSE
SU,Suncor Energy Inc,Energy Minerals,Oil & Gas Production,XLE - Energy,,NYSE
SW,Smurfit Westrock Plc,Process Industries,Containers/Packaging,XLB - Materials,,NYSE
SWK,Stanley Black & Decker Inc,Producer Manufacturing,Industrial Machinery,XLY - Consumer Discretionary,,NYSE
SWKS,Skyworks Solutions Inc,Electronic Technology,Semiconductors,XLK - Technology,,NASDAQ
SWX,Southwest Gas Holdings Inc,Utilities,Gas Distributors,XLU - Utilities,,NYSE
SYF,Synchrony Financial,Finance,Finance/Rental/Leasing,XLF - Financial,,NYSE
SYK,Stryker Corporation,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
SYY,Sysco Corporation,Distribution Services,Food Distributors,XLP - Consumer Staples,,NYSE
T,AT&T Inc,Communications,Major Telecommunications,XLC - Communication Services,,NYSE
TAP,Molson Coors Beverage Company,Consumer Non-durables,Beverages: Alcoholic,XLP - Consumer Staples,,NYSE
TCEHY,Tencent Holdings Limited,Technology Services,Internet Software/Services,XLC - Communication Services,,PNK
TD,The Toronto-Dominion Bank,Finance,Major Banks,XLF - Financial,,NYSE
TDG,TransDigm Group Incorporated,Electronic Technology,Aerospace & Defense,XLI - Industrials,,NYSE
TDY,Teledyne Technologies Incorporated,Electronic Technology,Electronic Equipment/Instruments,XLK - Technology,,NYSE
TEAM,Atlassian Corporation Plc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
TECH,Bio-Techne Corporation,Health Technology,Biotechnology,XLV - Health Care,,NASDAQ
TEL,TE Connectivity plc,Electronic Technology,Electronic Components,XLK - Technology,,NYSE
TENB,Tenable Holdings Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
TER,Teradyne Inc,Electronic Technology,Electronic Production Equipment,XLK - Technology,,NASDAQ
TFC,Truist Financial Corporation,Finance,Regional Banks,XLF - Financial,,NYSE
TFI,TFI International Inc,Transportation,Trucking,XLI - Industrials,,PCX
TGT,Target Corporation,Retail Trade,Department Stores,XLP - Consumer Staples,,NYSE
TJX,The TJX Companies Inc,Retail Trade,Apparel/Footwear Retail,XLY - Consumer Discretionary,,NYSE
TKO,TKO Group Holdings Inc,Consumer Services,Movies/Entertainment,XLC - Communication Services,,NYSE
TM,Toyota Motor Corporation,Consumer Durables,Motor Vehicles,XLY - Consumer Discretionary,,NYSE
TMO,Thermo Fisher Scientific Inc,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
TMUS,T-Mobile US Inc,Communications,Wireless Telecommunications,XLC - Communication Services,,NASDAQ
TPL,Texas Pacific Land Corporation,Energy Minerals,Oil & Gas Production,XLE - Energy,,NYSE
TPR,Tapestry Inc,Consumer Non-durables,Apparel/Footwear,XLY - Consumer Discretionary,,NYSE
TRGP,Targa Resources Corp,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NYSE
TRI,Thomson Reuters Corporation,Technology Services,Information Technology Services,XLC - Communication Services,,NASDAQ
TRMB,Trimble Inc,Electronic Technology,Electronic Equipment/Instruments,XLK - Technology,,NASDAQ
TROW,T Rowe Price Group Inc,Finance,Investment Managers,XLF - Financial,,NASDAQ
TRV,The Travelers Companies Inc,Finance,Property/Casualty Insurance,XLF - Financial,,NYSE
TSCO,Tractor Supply Company,Retail Trade,Specialty Stores,XLY - Consumer Discretionary,,NASDAQ
TSLA,Tesla Inc,Consumer Durables,Motor Vehicles,XLY - Consumer Discretionary,mag7,NASDAQ
TSLX,Sixth Street Specialty Lending Inc,Finance,Investment Managers,XLF - Financial,,NYSE
TSM,Taiwan Semiconductor Manufacturing Company Limited,Electronic Technology,Semiconductors,XLK - Technology,,NYSE
TSN,Tyson Foods Inc,Consumer Non-durables,Food: Meat/Fish/Dairy,XLP - Consumer Staples,,NYSE
TT,Trane Technologies plc,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
TTD,The Trade Desk Inc,Technology Services,Internet Software/Services,XLC - Communication Services,,NGM
TTE,TotalEnergies SE,Energy Minerals,Integrated Oil,XLE - Energy,,NYSE
TTWO,Take-Two Interactive Software Inc,Technology Services,Packaged Software,XLC - Communication Services,,NASDAQ
TWLO,Twilio Inc,Technology Services,Internet Software/Services,XLK - Technology,,NYSE
TXN,Texas Instruments Incorporated,Electronic Technology,Semiconductors,XLK - Technology,,NASDAQ
TXT,Textron Inc,Electronic Technology,Aerospace & Defense,XLI - Industrials,,NYSE
TYL,Tyler Technologies Inc,Technology Services,Packaged Software,XLK - Technology,,NYSE
U,Unity Software Inc,Technology Services,Packaged Software,XLK - Technology,,NYSE
UAL,United Airlines Holdings Inc,Transportation,Airlines,XLI - Industrials,airlines,NASDAQ
UBER,Uber Technologies Inc,Technology Services,Other Transportation,XLI - Industrials,,NYSE
UDR,UDR Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
UGI,UGI Corporation,Utilities,Gas Distributors,XLU - Utilities,,NYSE
UHS,Universal Health Services Inc,Health Services,Hospital/Nursing Management,XLV - Health Care,,NYSE
UL,Unilever PLC,Consumer Non-durables,Household/Personal Care,XLP - Consumer Staples,,NYSE
ULTA,Ulta Beauty Inc,Retail Trade,Specialty Stores,XLY - Consumer Discretionary,,NASDAQ
UNH,UnitedHealth Group Incorporated,Health Services,Managed Health Care,XLV - Health Care,,NYSE
UNP,Union Pacific Corporation,Transportation,Railroads,XLI - Industrials,,NYSE
UPS,United Parcel Service Inc,Transportation,Air Freight/Couriers,XLI - Industrials,,NYSE
UPST,Upstart Holdings Inc,Finance,Finance/Rental/Leasing,XLF - Financial,,NASDAQ
URA,URA - Global X Uranium ETF,ETF,Exchange Traded Fund,XLB - Materials,"urnio, minerao",PCX
URI,United Rentals Inc,Commercial Services,Miscellaneous Commercial Services,XLI - Industrials,,NYSE
USAC,USA Compression Partners LP,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NYSE
USB,US Bancorp,Finance,Regional Banks,XLF - Financial,,NYSE
USFD,US Foods Holding Corp,Distribution Services,Food Distributors,XLP - Consumer Staples,,NYSE
V,Visa Inc,Technology Services,Data Processing Services,XLF - Financial,,NYSE
VEEV,Veeva Systems Inc,Technology Services,Packaged Software,XLV - Health Care,,NYSE
VICI,VICI Properties Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
VLO,Valero Energy Corporation,Energy Minerals,Oil Refining/Marketing,XLE - Energy,,NYSE
VLTO,Veralto Corporation,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
VMC,Vulcan Materials Company,Non-energy Minerals,Construction Materials,XLB - Materials,,NYSE
VOC,VOC Energy Trust,Energy Minerals,Oil & Gas Production,XLE - Energy,,NYSE
VRNS,Varonis Systems Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
VRSK,Verisk Analytics Inc,Commercial Services,Financial Publishing/Services,XLF - Financial,,NASDAQ
VRSN,VeriSign Inc,Technology Services,Internet Software/Services,XLK - Technology,,NASDAQ
VRTX,Vertex Pharmaceuticals Incorporated,Health Technology,Biotechnology,XLV - Health Care,,NASDAQ
VST,Vistra Corp,Utilities,Electric Utilities,XLU - Utilities,,NYSE
VTR,Ventas Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
VTRS,Viatris Inc,Health Technology,Pharmaceuticals: Major,XLV - Health Care,,NASDAQ
VZ,Verizon Communications Inc,Communications,Major Telecommunications,XLC - Communication Services,,NYSE
WAB,Westinghouse Air Brake Technologies Corporation,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
WAT,Waters Corporation,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
WBA,Walgreens Boots Alliance Inc,Health Services,Medical/Nursing Services,XLV - Health Care,,NASDAQ
WBD,Warner Bros Discovery Inc,Consumer Services,Movies/Entertainment,XLC - Communication Services,,NASDAQ
WCN,Waste Connections Inc,Industrial Services,Environmental Services,XLI - Industrials,,NYSE
WDAY,Workday Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
WDC,Western Digital Corporation,Electronic Technology,Computer Processing Hardware,XLK - Technology,,NASDAQ
WEC,WEC Energy Group Inc,Utilities,Electric Utilities,XLU - Utilities,,NYSE
WELL,Welltower Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
WES,Western Midstream Partners LP,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NYSE
WFC,Wells Fargo & Company,Finance,Major Banks,XLF - Financial,,NYSE
WM,Waste Management Inc,Industrial Services,Environmental Services,XLI - Industrials,,NYSE
WMB,The Williams Companies Inc,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NYSE
WMT,Walmart Inc,Retail Trade,Food Retail,XLP - Consumer Staples,,NYSE
WPM,Wheaton Precious Metals Corp,Non-energy Minerals,Precious Metals,XLB - Materials,,NYSE
WRB,W R Berkley Corporation,Finance,Property/Casualty Insurance,XLF - Financial,,NYSE
WSM,Williams-Sonoma Inc,Retail Trade,Specialty Stores,XLY - Consumer Discretionary,,NYSE
WSO,Watsco Inc,Distribution Services,Wholesale Distributors,XLI - Industrials,,NYSE
WST,West Pharmaceutical Services Inc,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
WTW,Willis Towers Watson Public Limited Company,Finance,Insurance Brokers/Services,XLF - Financial,,NASDAQ
WY,Weyerhaeuser Company,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
WYNN,Wynn Resorts Limited,Consumer Services,Casinos/Gaming,XLY - Consumer Discretionary,,NASDAQ
XEL,Xcel Energy Inc,Utilities,Electric Utilities,XLU - Utilities,,NASDAQ
XOM,Exxon Mobil Corporation,Energy Minerals,Integrated Oil,XLE - Energy,,NYSE
XPEV,XPeng Inc,Consumer Durables,Motor Vehicles,XLY - Consumer Discretionary,,NYSE
XYL,Xylem Inc,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
XYZ,Block Inc,Technology Services,Data Processing Services,XLF - Financial,,NYSE
YORW,York Water Company,Utilities,Water Utilities,XLU - Utilities,,NASDAQ
YUM,Yum Brands Inc,Consumer Services,Restaurants,XLY - Consumer Discretionary,,NYSE
ZBH,Zimmer Biomet Holdings Inc,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
ZBRA,Zebra Technologies Corporation,Electronic Technology,Electronic Equipment/Instruments,XLK - Technology,,NASDAQ
ZM,Zoom Video Communications Inc,Technology Services,Internet Software/Services,XLK - Technology,,NASDAQ
ZS,Zscaler Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
ZTS,Zoetis Inc,Health Technology,Pharmaceuticals: Major,XLV - Health Care,,NYSE